call,accuracy,scale_A,scale_C,scale_D,scale_E,scale_F,scale_G,scale_H,scale_I,scale_K,scale_L,scale_M,scale_N,scale_P,scale_Q,scale_R,scale_S,scale_T,scale_V,scale_W,scale_Y
1,12.4,0.8166838248008512,3.4063555831688337,0.6319669924587684,1.4796154354418003,2.14422415112884,2.760532898293367,0.2539905520555279,1.233372298529282,0.8729092458938656,2.41035015498385,0.9070546299575553,1.8242946267766504,0.21716703610952026,0.6661698752115748,4.565615742188856,4.024370615532197,0.21088132560086997,0.22442263590388026,0.2732632174799615,0.1157169683090316
2,10.8,0.13385742732114064,1.496993492539166,0.49751188073786323,0.10897313989980309,0.2063306170077986,4.220650072655393,0.1532703809455802,2.8623461249128055,0.6052322154509848,0.17025208529242863,0.9289377193581535,0.1300007277458673,0.7022836411518222,0.8793865170379924,2.234881826612082,1.2221088442851138,0.12041367843579243,1.4217309955553987,0.5278137412932455,1.22445339402693
3,9.0,1.333355237396186,1.663839335482411,1.9964955211621571,1.7231543312813684,0.17837279032888356,2.4635574763251107,0.16504471064301435,2.2610209920110087,0.45437947542634743,0.17383890898558646,0.276868912446515,0.1426555032121983,2.552874626573337,0.1607905146746859,0.1786006518467626,1.2969103971504754,1.714258895828691,2.516281713711119,4.02355665141326,0.3148718742900976
4,13.4,0.8220193992388688,1.5144802547578267,0.8274661576405911,0.2323881319835877,3.1410094284120675,0.864524842963011,0.12374367467796019,1.2095050550067805,0.3603018548157613,0.287731767419442,3.7933220622842474,2.6901180152683515,0.26646922937397954,0.7079251018744094,1.07754327643899,2.249386641347244,0.5076260086273224,3.7713303368488202,0.6050947373590542,4.362822715360503
5,11.2,0.21646752892871696,0.33429392849748135,1.2553926935461517,4.295171964179949,2.865471697409692,0.4242002204286322,0.26538292438254485,0.46038125802501245,0.5481395067131384,1.7074108425709509,3.436384976938438,2.0520183609237264,0.40476306138175583,1.0446150794948095,0.6820174704026014,2.3945791569343036,1.267908555913758,0.6504999881307374,4.114386346991354,4.196320083985382
6,14.2,1.716361088537057,2.1001713649747047,0.6820490918527261,1.4608879686838465,1.645873368815738,2.61284808777209,2.4281612510048207,0.5741796878393887,0.5768461518609772,0.31666128587342274,0.5098940703536523,0.37411963329352305,0.5693112539511587,0.4559753950401127,4.4835131955829315,0.5891121344733461,0.15678813466970687,0.7451204077697144,1.1645701387183076,2.3473648538997307
7,7.8,0.24966686093698365,0.9963731782278228,0.24864426146812504,0.15271167181319506,0.12432133820883218,3.471116346295139,0.6844539827648207,0.17267689086564467,0.1225395574236638,0.3280247323871633,0.49589066138130594,2.910588621357059,0.174617206000349,0.17582956262266802,2.720978102710447,0.1374320491007511,2.48342569301959,1.5559267746962466,0.10875538175652123,0.39445971289697873
8,10.2,2.684496033821032,0.4410961565464228,0.28348748524751954,1.646788608102868,0.16134019637425853,0.15923064277830673,0.5145257279316979,2.3090611663387635,0.5095111049282621,0.1740267493866613,0.9552030869347713,0.5167250335072564,0.4486428672522412,1.60072029394316,0.872962478943937,0.32654380288775076,0.13481658967588012,1.2121505355143691,4.114193459252238,1.327771882270488
9,11.4,4.105278526507688,0.3368241177417491,0.2424424727535154,0.7102527505177022,1.37424692479475,2.1552443563803454,1.067277688744433,0.6115860826169587,1.0867116088143594,0.15068479629462544,0.4691761020240744,2.0432695643895418,1.2668188215808922,4.202631420375141,1.4100131809118153,0.5988252776093146,0.17994480464212628,0.45044789379806016,1.0787116478091667,0.761278877375401
10,14.6,0.5102702957154907,0.6020008646302016,0.6359553248362327,0.1607810247640887,1.3079744953763954,0.4024459169765747,1.8326711541632517,4.425702725773647,0.5106685914079004,0.822709347051627,0.5315442328837919,0.10404806447989766,0.788012116415152,2.19205968394965,0.6200509603911419,0.20431147272433137,1.078879810479502,0.3878061963638267,0.1526541561561878,3.7434578815171284
11,10.8,0.10380014060237684,0.6560611092664392,2.004172636821394,0.16179773188983387,0.3733353105201359,1.8315243229193368,0.8666973299103446,3.182876417583396,0.8440107670762672,0.10206142020773733,0.7084645972546514,0.41504495679662784,4.328798105443397,0.4082665560913948,0.47185147311680137,0.18517123385788548,0.45384103417082605,0.37775867848057826,1.3571279010620225,0.37911366000651503
12,8.8,0.8928577844561078,1.35651317529737,0.11667165175572519,0.3225748287876262,0.10954324704925777,0.47126641899101085,0.34426542495936835,3.868239065364633,0.7917806703110708,0.13564499802031918,1.0236325784125586,4.024927446465133,0.18141997832110066,3.875540127201774,0.19627936716738673,1.665152431614806,0.13674871766766009,0.28896296859082576,4.89064310912933,0.7149310666350571
