call,accuracy,scale_A,scale_C,scale_D,scale_E,scale_F,scale_G,scale_H,scale_I,scale_K,scale_L,scale_M,scale_N,scale_P,scale_Q,scale_R,scale_S,scale_T,scale_V,scale_W,scale_Y
1,15.0,2.827742536465645,3.043298318291104,4.997751133037333,3.809611253047282,1.7046017224147576,0.17146838884609947,0.10368165164668533,1.4281480463672824,0.5144211742922189,0.40600280935945743,0.3739053792746873,0.3244297067754911,0.17315770207207828,0.32991726170203717,0.23759066438628426,0.16534139050003477,0.2526607059084519,0.25493469150821163,1.4221436905254892,3.2361939418318055
2,16.0,1.6466629660608885,0.8457464208203096,0.45580291510318954,0.7460854485118208,0.3786333895935804,2.9855678924918223,0.3058632515331398,3.2478743535491987,0.17836814287628494,2.661901914654086,0.6189998980372691,0.17804996504249215,0.982499467243227,0.10545145533215232,1.4220741696954864,0.18519444443722116,0.8774864267422425,0.5451534432069373,2.7169354272346062,4.948238111464364
3,14.0,0.45269616618288316,0.11859270026499959,2.375478718070039,3.2464073792322368,2.4298714094691216,2.249871380769852,2.7626605364711145,1.4587065084507143,1.3909127736500773,0.12106920454561905,0.23967653420337917,4.22170039170697,0.10215518821127692,0.26688693958356724,2.9921114382256744,1.4153795220186476,0.262284840108908,0.15840695669947524,0.2968301580271224,2.026415543377
4,17.0,0.12268532313347431,1.8442896328228962,3.2114942017403583,1.2510283426901445,1.0900962615942353,0.2437923296145599,0.26263725509002195,0.19843988645618774,0.15695147985885796,2.3533366012429164,1.2618793789178344,1.7040036384957569,0.12766176505681487,0.607029851901155,0.9248559201645896,1.1246763026409972,0.5672089467469013,0.8416392061738748,0.32913102665141397,0.6474121465913961
5,12.0,3.253375401755989,0.4413629881346597,0.5880274304862831,0.5815304584136857,2.5828730603719143,0.2084214613230618,0.14371503523055004,0.12151717906452247,0.33624203753347665,0.9116481272110116,0.15862814120119684,2.792539830038205,0.826866393829152,0.41657308593188086,2.567683239798566,2.664101626037024,1.3386884498782812,0.3623713915949346,0.330609639430043,0.11290665455401618
6,9.0,0.42323840663547146,0.6964013588008418,0.1684835525043612,0.8276672243664842,0.753461648937524,1.6260962117862474,0.25097789862546627,3.7260490843106244,0.2542457239412718,0.9703260320418654,1.1531174919494458,0.3484254239012498,0.22033861235453153,0.2423300836434288,2.312359705291523,0.21168925798546126,0.28353010137271667,0.22601130304016792,1.440921745882903,0.33071869708609314
7,11.0,0.43692535472061633,3.0213780749351598,1.2807005803976534,0.2571109600515086,0.3278787721342592,0.2720597039747184,1.1676743393154072,0.5425030284678445,0.5157818013409798,0.265445874658123,0.5294734464290372,0.26056626135848193,0.3282242061541701,3.423163370984517,1.2601642759123965,0.12225372822233173,0.10698500368872949,0.16740143655382353,0.7366632413215332,3.380636374343167
8,16.0,0.2216644034281544,1.7516387519473575,1.7914570931990066,2.6351225335490933,1.1149174404034696,0.39508669040086647,0.3877148556812891,0.22573606253285447,1.521904986284665,0.17941451353150184,3.2483450173766895,1.3773583125234832,0.1911786877537838,4.630719877250088,1.680530317093343,0.10021120211524433,4.138855316717353,0.22687170502107143,3.0318337137393887,2.447666062315382
9,14.0,0.897091146103523,0.14737928125439925,0.5235058680120542,2.758613515975843,1.5497789410018117,0.7194036127071951,0.16512161431902111,2.7092875916090113,3.069546470234634,0.21987847240002778,0.71662859905896,0.12425350238229946,0.2681770467639891,2.651367975837511,0.378697447241681,1.3072481935045113,4.855350725285086,0.14832169540708232,0.9346125142416247,0.28329551423794663
10,14.0,2.9226139125520447,0.35737409188688046,0.6883918314136719,2.4181502084640183,2.71293636626427,0.2575785353190558,0.23686875217299844,0.10044910540298954,0.3771428164483459,0.13187752446301218,0.11291315847745136,2.070906152028835,0.5470804936329026,0.22762738520611758,0.4938252539054725,4.493345174867688,3.131566320542479,0.5057857586621541,0.8804248930278555,1.3221343021873306
11,13.0,0.10655361624396527,1.5056569269117308,0.19510189879561943,2.747413024720027,0.2728879056850565,0.14619341113401618,0.147280071993011,0.6430316008953505,1.4376975995551091,0.5663680227291232,0.5724265691527064,0.19171939358588774,2.265623162275588,0.20032188638063655,4.573642993997126,1.2981346392359188,0.7691207386475597,1.231542955975288,0.2894415753285994,0.6350446686722272
12,17.0,0.28090642933012294,2.576650909802689,2.0609004684671124,2.5493018496928306,2.291343188781173,3.996040117615066,0.18616288262499525,0.5060435789293992,2.0630372650649025,3.74104101701051,0.3341657728179765,0.4159087067967886,0.3421691838305486,3.1392627657580365,2.435041161997646,1.3204750897921431,0.2888385945681767,0.3263088744773175,0.47991788124466617,4.295458629308125
13,10.0,1.347148179570193,1.7851701714417136,0.9070969283472878,0.21373630398532198,0.3384246323713493,0.6720911061984711,4.199046461401104,0.32950914669507997,1.3866464755800623,1.2016887176438196,1.2941613558770144,2.3504950466500794,0.1849675026176311,0.4424727611274932,1.2549412959663158,3.595310248333709,0.9415074243184656,1.4871753069966305,0.6046214304753115,0.21511106859397838
14,12.0,0.1762393782130487,1.2217945961920025,0.15008434901779816,1.5467941019680467,0.11918158966627301,3.402949920619578,0.12841621167863482,1.225389689332471,0.13533974377532046,0.21120861821336284,0.78444650218349,1.0806391073672015,0.3480654554156002,0.3008718559743788,1.1107008089371282,0.9682194484276558,0.7743543660212832,0.6049313715229593,0.5530624187740033,0.3601161743125164
15,13.0,0.2721652607276684,0.8191833529830003,0.8378588782702013,0.5944363749377488,3.007325008573068,0.15434846746765424,4.481726757842619,1.997996169366454,3.3147441458241533,2.483925620873354,2.2566082968103394,1.1739360822113225,2.1225563099392453,0.8846415117718278,0.22953412621062444,0.21079413676436928,1.6989786790658319,0.2100872672595114,2.4913427114743167,3.436579041149214
16,9.0,4.126554679165278,0.10884574427337158,0.2659055576925877,0.2765202095397867,0.7735839189722687,3.5163719551671164,0.5057529875195037,0.9107960675553426,2.2629798340477305,1.592534219823038,0.15785763747139256,1.1093250622021618,0.18279757581052722,0.839934729280006,0.33516649633374346,0.1021480586997101,2.524476301963883,0.23610007096567695,1.5415894140737953,0.9519805764131313
17,13.0,1.6216469872500525,2.4767668861073373,2.362651218158625,1.8257261360664951,0.2809716630146922,0.26650469636781227,4.525966082775304,2.3509175890787786,0.31499198144173524,1.75289881001168,0.8962769761005576,3.6756696601510432,1.010595115426518,0.13265301971623142,3.2834148198216253,3.0641653749285847,2.484386469922709,0.3462035695226397,0.7032927376926413,1.8125866507770603
18,15.0,0.23426145886317415,0.12400701210366648,4.986947432862447,1.5328873269760692,3.1668986514449045,0.46156263888213556,0.6837503899211522,0.5272327207678306,1.3297307577678328,3.3462821341693143,4.5641280515726255,0.2215105994410635,0.2551382696199057,0.10939174334337277,0.22132328642362675,1.2091491479217489,4.49539717145459,1.7419750239718093,2.99239779829423,0.17269597017493094
19,12.0,0.5404720058530414,0.7079811222432686,2.2676745568120382,0.4202481052128812,0.3677447091689866,0.5789314466446397,0.6495120411958801,0.4805712554958942,1.4657065933037152,0.3080720054820848,3.084871025126314,0.2513174664230263,0.8849756130795076,0.4719909220061436,1.082938109705596,3.4248861758675493,0.6732413544168737,0.7110393046290097,1.9426075946197945,0.7693820645877224
20,14.0,0.7594175381661663,1.7746619358369635,0.5629207548583094,2.173173887111499,0.6521823589037189,1.5564663918709114,0.23926291215739195,0.3088131921976691,0.5258318901810035,0.6470380027635473,0.27302645607374243,0.23946463124456063,0.13633287705583064,4.078217383567889,3.700042089968909,0.3620972358761683,2.534017702514205,0.10638361559784043,0.6964128280818366,0.1390179325417395
21,14.0,0.3770232085658424,0.10329506313786427,3.2610642879231477,2.1196339167572575,3.956551785038403,0.8156967110882989,2.3475043721826028,0.6634304126780061,0.17023442630988966,0.5222869421301374,4.298108375063722,0.42381217222781986,0.6613238095120554,0.24636391147910483,0.30226494338984233,1.3197865208397028,3.1892277356355296,0.7167794175029026,1.8569394943828064,3.6966127263061273
22,11.0,2.6336744147365314,0.1319907155860129,0.5826182613646836,0.11307203405454139,2.8830172735126895,0.9894402155595399,0.6222177932946196,2.0386297642433746,1.2382732924046786,3.5640147788210186,1.78522606861355,0.8040370145847535,0.31233254471859384,1.284931670210245,2.2953875439388933,0.8103399084321193,1.0833896470256512,0.8333762095252152,1.1617827151848366,0.6208148519617833
23,9.0,0.49021056402360186,0.33529774604808243,4.606438487584519,4.2554421492737164,0.6018758731150069,2.7133871319986675,3.501895306509475,1.6207042834845877,1.0114781451875707,0.5146249442413625,0.49373438537394776,0.8114375660052303,0.18625405194794048,3.2258508935128223,0.45920643536312167,0.21164478457484703,0.35857676438668556,3.382020286648174,3.354141954560677,0.8942510487057688
