index	mean	variance
0	-2.380301	0.30275715779499146
1	-1.838122	0.24774379400771732
2	-1.616342	0.2678934249304181
3	-0.946428	0.3410780576203661
4	-0.945723	0.27788654221593906
5	-0.044411	0.24317754895312485
6	0.546093	0.28357106128222415
7	-0.13627	0.25706821828173937
8	-0.479	0.2257946953670844
9	0.094187	0.2852653359021319
10	-0.129156	0.23528653011614747
11	0.629443	0.2009427976876288
12	-0.240315	0.22393911633051808
13	0.200208	0.23051524806446838
14	0.122558	0.2450735057203226
15	0.643272	0.2052769376495589
16	0.448812	0.19664800823141995
17	0.448996	0.2441945394710846
18	0.219514	0.21306705064611803
19	0.371075	0.22014357480970684
20	0.290677	0.24307737370818389
21	0.762887	0.2244918214289146
22	0.495183	0.19063688165155834
23	1.086714	0.19970533406412258
24	0.839755	0.2464268541400898
25	0.603716	0.22563636187994424
26	1.030649	0.2790041944902118
27	0.460521	0.2773064346471397
28	0.354024	0.25753859317370636
29	-0.045462	0.3752305517861153
30	-0.522163	0.3277565843261415
31	-0.696309	0.2864336622880244
32	-1.159423	0.15440932949319355
33	-1.64581	0.18487315214093603
34	-2.070584	0.22377624146793265
