index	mean	variance
0	-1.955526	0.42928115461214583
1	-1.674661	0.3137002031245207
2	-1.058719	0.29502765196727937
3	-0.691779	0.2831402820379273
4	-0.665692	0.26946734367023156
5	-0.373873	0.2748239576690638
6	-0.213132	0.26249054832345875
7	0.072642	0.22997127448122204
8	-0.48612	0.2636151999875992
9	-0.036758	0.292917000683416
10	0.03006	0.2660054573241901
11	0.26335	0.26956746795827696
12	-0.218183	0.2816261819725769
13	0.398253	0.2800930211894861
14	0.417755	0.3384055314625451
15	0.43186	0.30072430134100986
16	0.686446	0.26020483019496987
17	0.960117	0.27326598556634935
18	1.23032	0.1982947858212126
19	1.594761	0.2422062343782104
20	1.332833	0.27016565642449974
21	0.909116	0.21647620289267708
22	1.115394	0.2567764754667235
23	0.733443	0.19774714710109786
24	0.500502	0.214271174015879
25	0.252145	0.25304266994229757
26	0.343218	0.24385696003959578
27	0.036816	0.24490346856258183
28	-0.19772	0.25197779120685065
29	-0.603493	0.3686541698662325
30	-0.9981	0.2760242776046667
31	-1.310423	0.28761839794946625
32	-1.691554	0.2539724666815535
33	-1.535349	0.2117757275534524
34	-1.980834	0.3544226491500955
