index	mean	variance
0	-1.916231	2.0339690896108698
1	-1.474949	1.192086960455683
2	-1.045357	0.8865620292099909
3	-0.769456	1.0376702324800453
4	-0.772307	1.2266361263785557
5	-0.33355	1.1247991173568959
6	0.034852	0.9160439044954612
7	-0.278574	0.9186502202404957
8	0.085333	1.0774666075916566
9	-0.711096	1.3550487078156643
10	0.063342	0.8542643379336824
11	0.311698	1.1451767975417686
12	0.331221	1.6573554939175783
13	0.006118	1.3129876074728617
14	0.172601	1.0949383800530017
15	0.275888	1.1577258617600832
16	0.655374	1.1700722856901584
17	0.958253	1.178843391916487
18	1.351098	1.004614955592925
19	1.001498	1.0266175980581167
20	1.500793	1.2165744202392283
21	1.07014	0.8225039396504747
22	0.855608	0.8125336037015088
23	1.028547	0.9351303946318777
24	0.629675	0.8982416394236776
25	0.588491	0.8910235517717845
26	0.437846	0.8493940495984325
27	0.146538	0.9288867602507085
28	-0.172618	0.9423671830625237
29	-0.561756	1.1456547026741835
30	-0.960129	1.0456064374865415
31	-1.024449	1.0562751074914267
32	-1.348749	0.7640298883585915
33	-1.536643	0.6398317238507552
34	-1.90211	0.883769721975383
