call,score,total_ll,mean_coverage,mean_smoothness,mean_efficiency,alpha,beta,gamma,scale_A,scale_C,scale_D,scale_E,scale_F,scale_G,scale_H,scale_I,scale_K,scale_L,scale_M,scale_N,scale_P,scale_Q,scale_R,scale_S,scale_T,scale_V,scale_W,scale_Y,trans_match_self_loop,trans_forward,trans_to_skip,trans_to_slip,trans_to_insert,trans_to_end,trans_insert_self_loop,trans_insert_to_match,trans_skip_to_match,trans_skip_continue,trans_slip_to_match,trans_slip_continue
0,-90.77199743655672,-170.77199743655672,1.0,1.0,1.0,1.0,0.5,0.3,79.99999999999997,79.99999999999997,79.99999999999997,79.99999999999997,79.99999999999997,79.99999999999997,79.99999999999997,79.99999999999997,79.99999999999997,79.99999999999997,79.99999999999997,79.99999999999997,79.99999999999997,79.99999999999997,79.99999999999997,79.99999999999997,79.99999999999997,79.99999999999997,79.99999999999997,79.99999999999997,0.01201201201201201,0.6796796796796797,0.1231231231231231,0.08608608608608606,0.06206206206206206,0.03703703703703704,0.3,0.7,0.9,0.1,0.92,0.08
2,-1227.3792543962256,-957.9218601159168,0.7304,0.7113599999999998,0.8639189426754578,1.3156919690266238,0.17448548449624499,0.28405342057081395,0.19568779300314362,0.4839714953725563,0.05447601025986989,0.022165316548935755,10.311660146893368,0.7087656850909166,1.227181226590892,0.07441974561330889,28.776994214100156,31.071911924357426,10.763090660238763,0.41577895412689664,0.01947591617588178,0.4571372618181718,27.07587422456137,0.013985867328269924,1.9352206708260202,0.647080416642092,0.01738314507095959,33.086549857404336,0.0011842583565056472,0.7616165621754472,0.04820225939690873,0.10656155712735665,0.08051854324147821,0.0019168197023035959,0.3,0.7,0.9,0.1,0.92,0.08
3,-184.15530528635009,-448.3005452902058,0.8016,0.7452,0.9241244331620727,0.5773163976050198,0.15121185968282713,0.83916811450325,1.802095940118815,2.83713272010903,1.882554509101386,0.3401005591810153,4.378905368789055,0.03361392037019319,0.16839188867158736,6.674662570142527,6.318291767323036,0.22516981363922858,0.41355764185179006,0.018292977544877107,0.26318700466937117,7.6345667891161515,0.19335557048794255,27.164107163583225,0.023572298806302464,37.06196569729357,49.094436504443784,0.8002603198350375,0.0011005666789539585,0.7000053140081064,0.0967273804285672,0.09043314538210825,0.11065986857615175,0.0010737249261124962,0.3,0.7,0.9,0.1,0.92,0.08
4,-412.1970432498746,-740.0656738905031,0.742,0.6805999999999999,0.9274153886936561,0.7675021576805908,1.8368459907928325,0.28667331427562465,0.013349789178963106,30.385274345651318,0.026944596690597563,2.6972526778781933,0.016986597262206558,0.1394264188915672,0.5556461907497787,1.438309310151278,0.28955478841724647,0.053656138514641134,1.1942099524629937,0.6250946373576832,24.984952899888217,41.570762690956656,0.2972387010843135,8.577319211086243,0.018283803049648845,0.30941116329340007,17.425240771585127,0.1484772869092626,0.028263131492835537,0.7649373423334255,0.10019696420762587,0.013985192141068963,0.06611246329826102,0.026504906526783188,0.3,0.7,0.9,0.1,0.92,0.08
5,-542.1011082516476,-635.1586031562722,0.7508000000000001,0.7019600000000001,0.889831448963011,0.9065703571943524,0.20157332729860064,0.26469781858255637,4.341515206472004,5.69355872064294,45.51653903867769,0.01525916031937842,0.21606687501083532,0.07309682870055177,1.0282914777522274,1.6352611342749235,0.5176000330175323,6.224095316088403,0.013490979453836557,0.68884853303785,6.762755396967368,0.023376026153643786,22.968513732915284,0.010983504001381074,0.18046867197370395,48.738364299602175,0.06033643722324797,0.047583573064822145,0.006248276662462936,0.6971945668968431,0.04332789833986783,0.1500574016414177,0.10188596330181099,0.0012858931575974706,0.3,0.7,0.9,0.1,0.92,0.08
6,-566.915335440294,-991.3867352204,0.7020000000000001,0.6593600000000001,0.8594031127003298,0.7564918068501771,1.741214990136586,0.9225205482027458,0.013731835423467321,0.011283782927375618,0.14062118451184696,0.01596207124806501,1.525269321433349,3.035839393961421,3.8452258863372264,0.04559091804593625,0.10815141179452878,0.22570024378884185,36.99314912444413,4.452587769274804,0.18984505589739306,0.045485425129680394,11.72336121027374,0.016158811456013375,10.160661972808018,2.032725445069823,0.943296882834164,0.08345416208902412,0.006316143897166772,0.6847350256884637,0.05815869714666247,0.18171932040514252,0.03931305795270033,0.029757754909864185,0.3,0.7,0.9,0.1,0.92,0.08
7,-99.41422808035443,-395.53189509802496,0.7944000000000001,0.74052,0.8871212611060438,0.5373224228037199,0.6440510633220632,0.8365812080640419,0.40009486463021393,16.75138208626402,30.104029243032684,27.861507262184293,33.43112589301051,13.940267014887196,0.013248534279186047,0.1134077397198521,19.3594874881419,0.06588493421066924,1.9002502028733363,1.2321988360150307,0.10111969739169802,1.1589241854259118,26.570533722542997,0.2723113050815185,5.942666784485264,0.07425975502202624,3.7122560617489135,0.053513607731339057,0.001548402928246302,0.6086673620983808,0.22357770454387133,0.14618973664009224,0.018447221315755366,0.001569572473653992,0.3,0.7,0.9,0.1,0.92,0.08
8,-790.7543055591766,-788.886922485372,0.7559999999999999,0.7040000000000001,0.911333577372957,1.064964987186088,0.4438344579843908,0.2248403510384939,0.16263214063096565,0.013159782490726564,1.2815551164491543,6.035392521648181,1.4523845518440774,0.011572471788588837,5.992870886669834,0.03051553382598401,0.920040765734947,2.3101619863908103,0.029344348907012388,5.273588368550636,0.05183521280745636,0.5950043352899215,5.010324364212741,24.11133489395513,30.136487509430832,0.7496301077852175,0.2354642982273471,0.7961359843192748,0.0030940609919151304,0.8293251140225352,0.0702602192943018,0.031535345148495104,0.06032460694931049,0.0054606535934423,0.3,0.7,0.9,0.1,0.92,0.08
9,-1621.447180785662,-1127.0729717732386,0.654,0.61312,0.8479762168049116,1.5404796677076,0.1884580350566048,1.6711355160668604,0.09426277388875877,1.0252621876427142,2.9626445037367346,3.9679730775634026,0.8150295759338948,0.013326917301568781,0.010218293675076155,0.5111971022463543,0.12825556467456914,7.399922070179823,8.79120219306673,1.20447195681168,0.11123648485681734,8.346185448675241,0.011666313377276255,0.03940416707478568,0.01359931818757462,0.2214735229866668,0.01053582887007503,0.10773139150763394,0.006570496634072132,0.6899683040261517,0.03996461546084992,0.14370317995316334,0.11701175061412118,0.0027816533116416663,0.3,0.7,0.9,0.1,0.92,0.08
10,-927.853125549358,-504.7043457765086,0.7672,0.74708,0.9054970712925519,1.9555031327869947,0.5725704107919729,0.20305993778250012,0.047595517823804286,43.98917333791137,0.2597464946590235,0.0576872584189224,0.6078126526687639,0.01293848220802333,15.300132730470184,13.122353637083304,7.0492637940078176,3.766855477525772,12.530448347688548,0.42976574946401663,0.27801865591247166,0.046734580893854114,0.23622487164032147,0.7216718395973832,11.021010106187674,0.258934917341921,0.19334727053751558,0.17722777369713721,0.01965563666705975,0.806338116931654,0.017166257790106953,0.0131335110459206,0.032654513153550974,0.11105196441170777,0.3,0.7,0.9,0.1,0.92,0.08
